source_x,source_y,source_z,absorb_x,absorb_y,absorb_z,scat_x,scat_y,scat_z,theta,e_energy
10.0,0.0,0.0,10.783172037842013,16.927753158866842,-309.4779611199041,10.783172037842013,7.265047470841677,-200.0,0.2604640773903329,999984.8502556866
10.0,0.0,0.0,16.20176170563841,9.924687687356874,-306.7158232837318,16.20176170563841,0.7041822423270716,-200.0,0.39745121580068893,999993.4445128976
10.0,0.0,0.0,1.3236225007570468,35.29602010063878,-290.0826618819607,1.3236225007570468,25.29975576695691,-200.0,0.02733458954518572,998633.9733880288
10.0,0.0,0.0,18.750324661051753,34.02323426563936,-290.98121692280955,18.750324661051753,29.075021501040432,-200.0,1.0531671742007187,999998.9884778212
10.0,0.0,0.0,20.952656563409224,26.257849781989055,-300.91818844312047,20.952656563409224,16.67900659628286,-200.0,0.2912547644642203,999987.8668993913
10.0,0.0,0.0,28.976849405577912,1.4461485410724961,-290.77372444169134,28.976849405577912,11.36569666938045,-200.0,3.0146596170811146,999999.7434681421
10.0,0.0,0.0,36.01285022289022,26.000880510521583,-294.06790789576803,36.01285022289022,20.892439387804444,-200.0,1.034629923819501,999998.9553443411
10.0,0.0,0.0,9.01870626964358,18.52520270228529,-307.3909879633733,9.01870626964358,8.623662218052988,-200.0,0.14044323593905766,999948.103189748
10.0,0.0,0.0,34.96731553443731,13.156722164956232,-290.8829129834842,34.96731553443731,4.14508693313326,-200.0,0.4483501066779313,999994.8298707672
10.0,0.0,0.0,9.320625244766369,9.359172978710163,-306.92461625988847,9.320625244766369,6.428996665055524,-200.0,1.2734148439843416,999999.27721022
10.0,0.0,0.0,15.336429852468033,17.829368442531052,-309.9395452971336,15.336429852468033,7.907060115375573,-200.0,0.12473370171768657,999934.231511101
10.0,0.0,0.0,26.393628727423085,43.607402121580634,-292.8375520350721,26.393628727423085,33.7426212097844,-200.0,0.16463591863996915,999962.2109055341
10.0,0.0,0.0,19.300994638139333,37.08624545409107,-307.5916959170813,19.300994638139333,36.77681702874795,-200.0,1.5398485443787955,999999.4726836012
10.0,0.0,0.0,27.08684603477979,41.7104808770392,-309.9899987021445,27.08684603477979,36.68601215931662,-200.0,1.044369835036751,999998.9729750529
10.0,0.0,0.0,31.317401104344626,24.001485729455815,-290.0047955645821,31.317401104344626,15.681883494221376,-200.0,0.5881649612481341,999996.9590625697
10.0,0.0,0.0,21.204335225419335,37.79460404291081,-304.200261267629,21.204335225419335,28.807627922202514,-200.0,0.4540055389976249,999994.9557218461
